img,date,location,city,state,species,clicked_by,scientific_name,sub_species,species_name,sub_sub_family,sub_family,latitude,longitude
6-34.jpg,05-06-19,"Bokakhat, Assam",Bokakhat,Assam,Indian Skipper,Sasanka Dhaval Saikia,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,26.6215,93.6116
6-35.jpg,17-11-17,Goa University Campus,Panaji,Goa,Grizzled skipper (Spialia Galba),Saish Borkar,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,15.4588,73.8342
6-36.jpg,19-06-19,"md.bazar, birbhum, west Bengal",,WestBengal,Indian grizzled skipper,Sarbajit Attmik Chatterjee,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,23.9168,87.517
6-37.jpg,18-08-19,"Wayanad, Boy's town",,Kerala,Skipper,Nishad Manathana,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,11.8402,75.9187
6-38.jpg,30-07-19,"Kadma, Bankura, West Bengal",Bankura,WestBengal,Indian Skipper (Spialia Galba),Aniruddha Singhamahapatra,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,22.9888,87.0106
6-39.jpg,06-07-19,"Savandurga,Bangalore",Bangalore,Karnataka,African Marbled skipper,Harisha Achar,Gomalia Elma,Elma,Gomalia,Carcharodini,Pyrginae,12.91965,77.292881
6-40.jpg,30-09-19,"Lohegaon, Pune",Pune,Maharashtra,Pelopidas sp. P. Mathias,B Savit,Pelopidas P. Mathias,Mathias,Pelopidas,Baorini,Hesperiinae,18.5945,73.9276
6-41.jpg,15-02-19,Jharkhand,,Jharkhand,skipper,Tanya Vinit Mishra,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,23.6102,85.2799
6-42.jpg,11-03-19,"Lalitha Mahal Palace area, Mysore",Mysore,Karnataka,ASIAN MARBLED SKIPPER ( Gomalia Elma albofasciata ),Arun Urs,Gomalia Elma albofasciata,Elma,Gomalia,Carcharodini,Pyrginae,12.2983,76.6926
6-43.jpg,31-01-19,South Goa,,Goa,Pygmy Scrub Hopper( Aeromachus pygmaeus),John Mann,Aeromachus pygmaeus,pygmaeus,Aeromachus,Aeromachini,Hesperiinae,15.1177,74.124
6-44.jpg,28-04-19,"Barpeta, Assam",Barpeta,Assam,"Erionota Thrax Linnaeus, 1767 – Palm Redeye( Banana Skipper)",David Das,Erionota Thrax,Thrax,Erionota,Aeromachini,Hesperiinae,26.3216,90.9821
6-45.jpg,14-07-19,"BNHS Butterfly Garden, At Cec Bnhs, Goregaon, Mumbai",Mumbai,Maharashtra,skipper,Raju Kasambe,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,19.1632,72.8926
6-46.jpg,07-10-19,Tiruppur,Tiruppur,Tamilnadu,Indian Grizzled Skipper,Darshan M. Trivedi,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,11.1085,77.3411
6-47.jpg,21-07-19,"Triplicane, Chennai",Chennai,Tamilnadu,African Marbled skipper,Supraja Narasimhan,Gomalia Elma,Elma,Gomalia,Carcharodini,Pyrginae,13.0588,80.2756
6-48.jpg,02-09-19,"Lohegaon, Pune",Pune,Maharashtra,"Melanitis leda, Common evening brown",B Savit,Melanitis leda,,,,,18.5945,73.9276
6-49.jpg,26-09-19,Devrukh MH,Devrukh,Maharashtra,Grass Demon (Udaspes folus),Prateik More,Udaspes folus,folus,Udaspes,Aeromachini,Hesperiinae,17.0686,73.6242
redeye.jpg,27-11-19,"Baripada, Odisha",Baripada,Odisha,Common red eye (Matapa aria),Bapu Behera,Matapa aria,aria,Matapa,Aeromachini,Hesperiinae,21.932,86.7466
6-50.jpg,10-09-19,"Kolhapur, Maharashtra",Kolhapur,Maharashtra,Plum dart Skipper,Pranav Datar,Pelopidas subochracea,subochracea,Pelopidas,Baorini,Hesperiinae,16.705,74.2433
